datetime,open,high,low,close,volume
2024-01-01 17:00:00,1.27184,1.27299,1.27155,1.27259,0
2024-01-01 18:00:00,1.2726,1.27347,1.27258,1.27274,0
2024-01-01 19:00:00,1.27275,1.27294,1.27212,1.2725,0
2024-01-01 20:00:00,1.2725,1.27331,1.27199,1.27202,0
2024-01-01 21:00:00,1.27204,1.27252,1.27097,1.27104,0
2024-01-01 22:00:00,1.27104,1.27194,1.27095,1.27181,0
2024-01-01 23:00:00,1.2718,1.27188,1.27107,1.27139,0
2024-01-02 00:00:00,1.27139,1.27409,1.27139,1.27367,0
2024-01-02 01:00:00,1.27368,1.27369,1.27287,1.27307,0
2024-01-02 02:00:00,1.27309,1.27438,1.27264,1.2732,0
2024-01-02 03:00:00,1.27324,1.27596,1.27292,1.27494,0
2024-01-02 04:00:00,1.27493,1.27559,1.27168,1.27171,0
2024-01-02 05:00:00,1.27169,1.27184,1.2692,1.26948,0
2024-01-02 06:00:00,1.26947,1.26947,1.26538,1.26621,0
2024-01-02 07:00:00,1.26623,1.26626,1.26392,1.26433,0
2024-01-02 08:00:00,1.26434,1.26481,1.26211,1.26294,0
2024-01-02 09:00:00,1.26292,1.26443,1.26197,1.26279,0
2024-01-02 10:00:00,1.2628,1.2637,1.26147,1.26248,0
2024-01-02 11:00:00,1.26249,1.26349,1.26105,1.26294,0
2024-01-02 12:00:00,1.26295,1.26365,1.26216,1.26327,0
2024-01-02 13:00:00,1.26327,1.26346,1.26234,1.26254,0
2024-01-02 14:00:00,1.26256,1.26263,1.26194,1.26197,0
2024-01-02 15:00:00,1.26196,1.26263,1.26156,1.26175,0
2024-01-02 16:00:00,1.26175,1.26216,1.26149,1.26149,0
2024-01-02 17:00:00,1.26149,1.26226,1.26139,1.26179,0
2024-01-02 18:00:00,1.26186,1.26239,1.26182,1.2622,0
2024-01-02 19:00:00,1.26221,1.26317,1.26196,1.26308,0
2024-01-02 20:00:00,1.26307,1.26333,1.26249,1.26286,0
2024-01-02 21:00:00,1.26285,1.26311,1.26261,1.26287,0
2024-01-02 22:00:00,1.26286,1.26406,1.26285,1.26402,0
2024-01-02 23:00:00,1.26402,1.26413,1.26376,1.26409,0
2024-01-03 00:00:00,1.26409,1.26411,1.26296,1.26303,0
2024-01-03 01:00:00,1.26303,1.2646,1.26301,1.26432,0
2024-01-03 02:00:00,1.26433,1.26465,1.2624,1.2643,0
2024-01-03 03:00:00,1.26431,1.26522,1.26353,1.26414,0
2024-01-03 04:00:00,1.26413,1.26466,1.2625,1.26277,0
2024-01-03 05:00:00,1.26275,1.26312,1.26198,1.2626,0
2024-01-03 06:00:00,1.26263,1.26313,1.26184,1.26265,0
2024-01-03 07:00:00,1.26264,1.26417,1.26198,1.26243,0
2024-01-03 08:00:00,1.26241,1.26429,1.26179,1.26293,0
2024-01-03 09:00:00,1.26293,1.26413,1.26175,1.26321,0
2024-01-03 10:00:00,1.26315,1.26562,1.26156,1.26276,0
2024-01-03 11:00:00,1.26276,1.26503,1.26268,1.26404,0
2024-01-03 12:00:00,1.26404,1.26471,1.26367,1.26447,0
2024-01-03 13:00:00,1.26445,1.26542,1.26404,1.26476,0
2024-01-03 14:00:00,1.26478,1.26761,1.26303,1.26633,0
2024-01-03 15:00:00,1.26639,1.26665,1.2654,1.26637,0
2024-01-03 16:00:00,1.26636,1.26681,1.26614,1.26635,0
2024-01-03 17:00:00,1.26629,1.26684,1.26585,1.26647,0
2024-01-03 18:00:00,1.26645,1.26735,1.26639,1.26727,0
2024-01-03 19:00:00,1.26727,1.26729,1.26657,1.26687,0
2024-01-03 20:00:00,1.26686,1.26698,1.26596,1.26617,0
2024-01-03 21:00:00,1.26617,1.26636,1.26565,1.26593,0
2024-01-03 22:00:00,1.26592,1.26731,1.26585,1.2673,0
2024-01-03 23:00:00,1.26729,1.26758,1.26695,1.26698,0
2024-01-04 00:00:00,1.267,1.26715,1.26632,1.2665,0
2024-01-04 01:00:00,1.26649,1.26789,1.26648,1.26789,0
2024-01-04 02:00:00,1.26787,1.26935,1.26774,1.26926,0
2024-01-04 03:00:00,1.26929,1.2708,1.26814,1.27011,0
2024-01-04 04:00:00,1.27011,1.27242,1.26889,1.27199,0
2024-01-04 05:00:00,1.27202,1.27296,1.27038,1.27069,0
2024-01-04 06:00:00,1.27067,1.27073,1.2686,1.26898,0
2024-01-04 07:00:00,1.26897,1.26953,1.26857,1.26922,0
2024-01-04 08:00:00,1.2692,1.2696,1.26701,1.26728,0
2024-01-04 09:00:00,1.26729,1.26848,1.26642,1.26784,0
2024-01-04 10:00:00,1.26782,1.27105,1.26781,1.26987,0
2024-01-04 11:00:00,1.26986,1.27038,1.26885,1.26893,0
2024-01-04 12:00:00,1.26893,1.26953,1.26724,1.26832,0
2024-01-04 13:00:00,1.26831,1.26861,1.26775,1.26816,0
2024-01-04 14:00:00,1.26818,1.26855,1.26736,1.26826,0
2024-01-04 15:00:00,1.26827,1.26851,1.26768,1.26839,0
2024-01-04 16:00:00,1.26842,1.26871,1.26793,1.26808,0
2024-01-04 17:00:00,1.26808,1.26882,1.26746,1.26846,0
2024-01-04 18:00:00,1.2684,1.26856,1.26798,1.26807,0
2024-01-04 19:00:00,1.26807,1.2692,1.26794,1.26905,0
2024-01-04 20:00:00,1.26905,1.26951,1.26876,1.26934,0
2024-01-04 21:00:00,1.26934,1.26962,1.26853,1.26862,0
2024-01-04 22:00:00,1.26864,1.26877,1.26788,1.2681,0
2024-01-04 23:00:00,1.26809,1.2686,1.2678,1.26785,0
2024-01-05 00:00:00,1.26784,1.26799,1.26735,1.26738,0
2024-01-05 01:00:00,1.26741,1.26752,1.26646,1.26696,0
2024-01-05 02:00:00,1.26698,1.26823,1.2669,1.26783,0
2024-01-05 03:00:00,1.26783,1.26887,1.26608,1.26618,0
2024-01-05 04:00:00,1.26615,1.26707,1.26568,1.26596,0
2024-01-05 05:00:00,1.26594,1.26611,1.26511,1.2656,0
2024-01-05 06:00:00,1.26558,1.26618,1.265,1.2653,0
2024-01-05 07:00:00,1.26532,1.26691,1.26516,1.26616,0
2024-01-05 08:00:00,1.26621,1.2671,1.26106,1.26571,0
2024-01-05 09:00:00,1.26574,1.27057,1.26546,1.27006,0
2024-01-05 10:00:00,1.27018,1.27707,1.26993,1.27515,0
2024-01-05 11:00:00,1.27516,1.27551,1.27317,1.27377,0
2024-01-05 12:00:00,1.27377,1.27378,1.27158,1.27232,0
2024-01-05 13:00:00,1.27232,1.27347,1.271,1.2732,0
2024-01-05 14:00:00,1.27322,1.27392,1.27185,1.27228,0
2024-01-05 15:00:00,1.27227,1.27236,1.27156,1.27198,0
2024-01-05 16:00:00,1.27196,1.27196,1.27155,1.27173,0
2024-01-07 17:00:00,1.27018,1.27175,1.27018,1.2714,0
2024-01-07 18:00:00,1.27137,1.27192,1.27083,1.27169,0
2024-01-07 19:00:00,1.27169,1.27238,1.27124,1.27226,0
2024-01-07 20:00:00,1.27226,1.27296,1.27196,1.27209,0
2024-01-07 21:00:00,1.27208,1.27208,1.27098,1.27109,0
2024-01-07 22:00:00,1.27108,1.27134,1.26985,1.27014,0
2024-01-07 23:00:00,1.27013,1.27048,1.26977,1.27018,0
2024-01-08 00:00:00,1.27019,1.27046,1.26983,1.27033,0
2024-01-08 01:00:00,1.27033,1.27151,1.27018,1.2715,0
2024-01-08 02:00:00,1.27149,1.27198,1.27009,1.27078,0
2024-01-08 03:00:00,1.27077,1.27107,1.26877,1.26908,0
2024-01-08 04:00:00,1.26911,1.26977,1.26729,1.26947,0
2024-01-08 05:00:00,1.26953,1.271,1.26928,1.27051,0
2024-01-08 06:00:00,1.27052,1.27132,1.26947,1.2698,0
2024-01-08 07:00:00,1.26977,1.27203,1.26976,1.27086,0
2024-01-08 08:00:00,1.27087,1.27207,1.27014,1.27115,0
2024-01-08 09:00:00,1.27114,1.273,1.27088,1.27287,0
2024-01-08 10:00:00,1.27287,1.27556,1.27208,1.27497,0
2024-01-08 11:00:00,1.275,1.27653,1.27458,1.27626,0
2024-01-08 12:00:00,1.27625,1.27668,1.27516,1.27546,0
2024-01-08 13:00:00,1.27547,1.27579,1.27395,1.27495,0
2024-01-08 14:00:00,1.27497,1.27601,1.27463,1.27586,0
2024-01-08 15:00:00,1.27587,1.27587,1.27457,1.27516,0
2024-01-08 16:00:00,1.27513,1.27554,1.27462,1.27469,0
2024-01-08 17:00:00,1.27463,1.27502,1.27439,1.27461,0
2024-01-08 18:00:00,1.27478,1.27489,1.27402,1.27411,0
2024-01-08 19:00:00,1.27411,1.27591,1.27402,1.27553,0
2024-01-08 20:00:00,1.27551,1.27607,1.27494,1.27599,0
2024-01-08 21:00:00,1.27601,1.27647,1.27566,1.27571,0
2024-01-08 22:00:00,1.27571,1.27623,1.27535,1.27557,0
2024-01-08 23:00:00,1.27556,1.27557,1.27448,1.27475,0
2024-01-09 00:00:00,1.27477,1.27488,1.27375,1.27432,0
2024-01-09 01:00:00,1.27434,1.27457,1.27338,1.27345,0
2024-01-09 02:00:00,1.27349,1.27505,1.27337,1.27469,0
2024-01-09 03:00:00,1.27469,1.2747,1.27273,1.27364,0
2024-01-09 04:00:00,1.27366,1.27386,1.27241,1.2734,0
2024-01-09 05:00:00,1.27342,1.27382,1.2721,1.27243,0
2024-01-09 06:00:00,1.27242,1.27248,1.27068,1.27129,0
2024-01-09 07:00:00,1.27128,1.27294,1.27094,1.27275,0
2024-01-09 08:00:00,1.27279,1.27353,1.2716,1.27252,0
2024-01-09 09:00:00,1.27255,1.27312,1.27153,1.2719,0
2024-01-09 10:00:00,1.27195,1.27212,1.27008,1.27033,0
2024-01-09 11:00:00,1.2703,1.27176,1.2689,1.27172,0
2024-01-09 12:00:00,1.27171,1.27184,1.27063,1.271,0
2024-01-09 13:00:00,1.27099,1.27173,1.26941,1.26973,0
2024-01-09 14:00:00,1.26972,1.27012,1.26915,1.26994,0
2024-01-09 15:00:00,1.26995,1.2707,1.26995,1.27041,0
2024-01-09 16:00:00,1.27041,1.27108,1.27037,1.27088,0
2024-01-09 17:00:00,1.27089,1.27111,1.27043,1.27067,0
2024-01-09 18:00:00,1.27072,1.27108,1.27054,1.27102,0
2024-01-09 19:00:00,1.27104,1.27177,1.27086,1.27114,0
2024-01-09 20:00:00,1.27112,1.27152,1.27068,1.27102,0
2024-01-09 21:00:00,1.27103,1.27125,1.27012,1.27031,0
2024-01-09 22:00:00,1.27029,1.27075,1.26981,1.26989,0
2024-01-09 23:00:00,1.26986,1.27043,1.26969,1.27022,0
2024-01-10 00:00:00,1.27024,1.27044,1.27009,1.27013,0
2024-01-10 01:00:00,1.27011,1.27011,1.26859,1.2687,0
2024-01-10 02:00:00,1.26871,1.27053,1.26871,1.26971,0
2024-01-10 03:00:00,1.26977,1.2716,1.26964,1.27143,0
2024-01-10 04:00:00,1.2714,1.27285,1.27127,1.27253,0
2024-01-10 05:00:00,1.27252,1.27343,1.2719,1.27258,0
2024-01-10 06:00:00,1.27258,1.27305,1.27176,1.27254,0
2024-01-10 07:00:00,1.27254,1.27318,1.27213,1.27219,0
2024-01-10 08:00:00,1.2722,1.2736,1.27198,1.27239,0
2024-01-10 09:00:00,1.27238,1.27259,1.2713,1.27217,0
2024-01-10 10:00:00,1.27218,1.27406,1.27147,1.27358,0
