entry,exit,PnL,holding_h,equity,tradeDD,cummax,drawdown
2024-01-03 18:00:00,2024-01-05 06:00:00,14.70209543375327,36.0,14.70209543375327,-22.29999999999834,14.70209543375327,0.0
2024-01-05 10:00:00,2024-01-09 08:00:00,29.012464021947018,94.0,43.71455945570029,-17.500000000000203,43.71455945570029,0.0
2024-01-11 18:00:00,2024-01-14 20:00:00,19.244234700524395,74.0,62.958794156224684,-21.399999999996886,62.958794156224684,0.0
2024-01-15 18:00:00,2024-01-16 10:00:00,17.10573370688488,16.0,80.06452786310956,-10.599999999999408,80.06452786310956,0.0
2024-01-17 04:00:00,2024-01-19 02:00:00,17.241530676396867,46.0,97.30605853950642,-18.499999999997872,97.30605853950642,0.0
2024-01-24 04:00:00,2024-01-24 15:00:00,27.688082007062633,11.0,124.99414054656906,-26.900000000001832,124.99414054656906,0.0
2024-01-25 08:00:00,2024-01-26 11:00:00,19.717809615349616,27.0,144.71195016191868,-6.499999999999194,144.71195016191868,0.0
2024-01-29 05:00:00,2024-01-30 03:00:00,19.996793111757817,22.0,164.7087432736765,-20.399999999999217,164.7087432736765,0.0
2024-02-02 11:00:00,2024-02-07 10:00:00,-26.351786276279693,119.0,138.35695699739682,-37.399999999999565,164.7087432736765,-26.351786276279682
2024-02-12 04:00:00,2024-02-15 02:00:00,-33.74400054196242,70.0,104.6129564554344,-41.09999999999938,164.7087432736765,-60.095786818242104
2024-02-22 03:00:00,2024-02-26 03:00:00,22.821723487749704,96.0,127.43467994318411,-25.900000000001942,164.7087432736765,-37.274063330492396
2024-02-28 07:00:00,2024-02-28 20:00:00,20.503839417424107,13.0,147.9385193606082,-9.800000000000828,164.7087432736765,-16.770223913068293
2024-02-29 04:00:00,2024-03-03 19:00:00,19.20792375983396,87.0,167.14644312044217,-12.699999999999843,167.14644312044217,0.0
2024-03-04 04:00:00,2024-03-06 12:00:00,17.75430745551965,56.0,184.9007505759618,-8.700000000000284,184.9007505759618,0.0
2024-03-07 05:00:00,2024-03-11 09:00:00,20.03607891881769,100.0,204.9368294947795,-11.800000000000608,204.9368294947795,0.0
2024-03-12 02:00:00,2024-03-14 10:00:00,20.45433612947057,56.0,225.39116562425005,-17.500000000000203,225.39116562425005,0.0
2024-03-18 04:00:00,2024-03-18 19:00:00,17.29990614001555,15.0,242.6910717642656,-23.999999999998376,242.6910717642656,0.0
2024-03-19 04:00:00,2024-03-19 07:00:00,15.59622162155132,3.0,258.2872933858169,-14.300000000001443,258.2872933858169,0.0
2024-03-19 11:00:00,2024-03-20 06:00:00,18.503504537290294,19.0,276.79079792310716,-20.499999999999872,276.79079792310716,0.0
2024-03-21 03:00:00,2024-03-21 06:00:00,-28.13414059240432,3.0,248.65665733070284,-37.99999999999906,276.79079792310716,-28.13414059240432
2024-03-21 07:00:00,2024-03-26 06:00:00,33.267396654029,119.0,281.9240539847318,-0.900000000000255,281.9240539847318,0.0
2024-03-27 15:00:00,2024-03-29 13:00:00,17.218914067280316,46.0,299.1429680520121,-10.900000000001373,299.1429680520121,0.0
2024-04-01 10:00:00,2024-04-02 05:00:00,19.857976086565266,19.0,319.0009441385774,-13.800000000002608,319.0009441385774,0.0
2024-04-02 09:00:00,2024-04-03 21:00:00,14.953969979771486,36.0,333.9549141183489,-23.100000000001362,333.9549141183489,0.0
2024-04-05 03:00:00,2024-04-08 04:00:00,17.27443443463285,73.0,351.2293485529817,-15.299999999999113,351.2293485529817,0.0
2024-04-09 05:00:00,2024-04-10 10:00:00,38.30260950587821,29.0,389.5319580588599,-3.60000000000018,389.5319580588599,0.0
2024-04-17 02:00:00,2024-04-17 09:00:00,20.910978795929992,7.0,410.4429368547899,-25.799999999999066,410.4429368547899,0.0
2024-04-19 10:00:00,2024-04-25 04:00:00,-23.694116260651352,138.0,386.7488205941385,-32.200000000001026,410.4429368547899,-23.694116260651356
2024-04-25 07:00:00,2024-04-30 05:00:00,16.078629152530713,118.0,402.82744974666923,-21.300000000000672,410.4429368547899,-7.6154871081206466
2024-05-01 08:00:00,2024-05-09 06:00:00,20.465275165478374,190.0,423.2927249121476,-16.899999999998492,423.2927249121476,0.0
2024-05-10 02:00:00,2024-05-13 03:00:00,21.24390075081789,73.0,444.5366256629655,-18.799999999999837,444.5366256629655,0.0
2024-05-13 11:00:00,2024-05-14 06:00:00,16.494595697796708,19.0,461.0312213607622,-21.599999999998197,461.0312213607622,0.0
2024-05-15 04:00:00,2024-05-17 03:00:00,15.75021568830152,47.0,476.7814370490637,-2.39999999999898,476.7814370490637,0.0
2024-05-17 06:00:00,2024-05-23 08:00:00,14.800859102315208,146.0,491.5822961513789,-2.60000000000029,491.5822961513789,0.0
2024-05-24 08:00:00,2024-05-24 12:00:00,23.597550561805473,4.0,515.1798467131844,-25.199999999999577,515.1798467131844,0.0
2024-05-27 08:00:00,2024-05-28 03:00:00,26.195990337137655,19.0,541.375837050322,-15.399999999999768,541.375837050322,0.0
2024-05-30 02:00:00,2024-05-30 11:00:00,17.734315669870945,9.0,559.110152720193,-12.100000000000353,559.110152720193,0.0
2024-05-31 03:00:00,2024-05-31 15:00:00,25.077097460373494,12.0,584.1872501805665,-10.899999999999153,584.1872501805665,0.0
2024-06-05 07:00:00,2024-06-06 06:00:00,14.50986186855291,23.0,598.6971120491194,-18.799999999999837,598.6971120491194,0.0
2024-06-09 17:00:00,2024-06-12 15:00:00,34.58918595394578,70.0,633.2862980030651,-4.700000000000725,633.2862980030651,0.0
2024-06-13 13:00:00,2024-06-14 08:00:00,14.6235395840763,19.0,647.9098375871414,-17.799999999999947,647.9098375871414,0.0
2024-06-17 05:00:00,2024-06-18 14:00:00,14.586088928793615,33.0,662.495926515935,-21.600000000000417,662.495926515935,0.0
2024-06-19 02:00:00,2024-06-19 13:00:00,32.48032076201244,11.0,694.9762472779474,-23.100000000001362,694.9762472779474,0.0
2024-06-20 22:00:00,2024-06-24 15:00:00,18.803108903751834,89.0,713.7793561816993,-21.29999999999845,713.7793561816993,0.0
2024-06-25 04:00:00,2024-06-26 20:00:00,-24.57286950809504,40.0,689.2064866736043,-31.799999999998406,713.7793561816993,-24.572869508094982
2024-06-28 10:00:00,2024-07-03 10:00:00,-21.177895831391325,120.0,668.028590842213,-32.60000000000143,713.7793561816993,-45.75076533948629
2024-07-03 11:00:00,2024-07-04 12:00:00,15.622387690391832,25.0,683.6509785326049,-17.299999999998892,713.7793561816993,-30.128377649094432
2024-07-05 07:00:00,2024-07-08 22:00:00,16.04734577859447,87.0,699.6983243111994,0.0,713.7793561816993,-14.081031870499942
2024-07-10 09:00:00,2024-07-15 10:00:00,23.39250837414821,121.0,723.0908326853476,-0.5999999999982897,723.0908326853476,0.0
2024-07-17 02:00:00,2024-07-17 12:00:00,31.134841257934504,10.0,754.225673943282,-17.799999999999947,754.225673943282,0.0
