equity,drawdown
1000.0,0.0
1004.9006984779178,0.0
1014.6189135979911,0.0
1021.1274350996147,0.0
1026.9498130948175,0.0
1032.8518753300157,0.0
1042.384437805111,0.0
1049.2356171019926,0.0
1056.229399622218,0.0
1064.237847971649,0.0
1070.7561340052569,0.0
1078.9016341429501,0.0
1086.2755094275046,0.0
1093.2305418165906,0.0
1099.7003922029826,0.0
1107.044953484727,0.0
1114.5929100143974,0.0
1121.0203609235894,0.0
1126.8482549206678,0.0
1133.7984688532551,0.0
1142.1974680673552,0.0
1148.7532680841941,0.0
1156.3572397265207,0.0
1162.1212835427746,0.0
1168.8129461819915,0.0
1183.7358081363327,0.0
1191.9868329309734,0.0
1200.8161341517869,0.0
1209.0078116879743,0.0
1217.5691590074618,0.0
1224.26359601144,0.0
1230.6910679102787,0.0
1236.7628296084847,0.0
1246.4910207433672,0.0
1257.375376321608,0.0
1264.8082736013448,0.0
1275.3808470499407,0.0
1281.5493803567715,0.0
1296.3252969655464,0.0
1302.644251730218,0.0
1308.9777466963242,0.0
1323.1497523906685,0.0
1331.4428620207266,0.0
1339.239736666052,0.0
1350.3806730893778,0.0
1357.6040149539765,0.0
1368.1899360501725,0.0
1382.389394873381,0.0
1390.7683136801652,0.0
1399.585802318951,0.0
1415.1072813553794,0.0
1425.3075856863647,0.0
1432.225414688114,0.0
1442.2998212645296,0.0
1449.6012861847726,0.0
1462.3566674362974,0.0
1471.3211860105903,0.0
1489.0187903342107,0.0
1496.829522611497,0.0
1504.9332433806017,0.0
1512.4460159726261,0.0
1519.8628802361713,0.0
1541.5048735636979,0.0
1550.5728999871983,0.0
1559.1735975523086,0.0
1573.455383835274,0.0
1583.6929537456388,0.0
1594.4675715785493,0.0
1607.5586477835618,0.0
1617.99702423929,0.0
1635.9434258201263,0.0
1644.2519517822561,0.0
1654.24703837282,0.0
1663.4839231806523,0.0
1672.984278574821,0.0
1686.1474803381057,0.0
