equity,dd_equity
1000.0,1000.0
1004.9006984779178,997.467365144585
1014.6189135979911,1008.7569928568698
1021.1274350996147,1013.8898201826167
1026.9498130948175,1023.3418294907991
1032.8518753300157,1026.519018149265
1042.384437805111,1033.1231993229846
1049.2356171019926,1046.9771174867485
1056.229399622218,1049.0945974259246
1064.237847971649,1051.0701881230254
1070.7561340052569,1053.0188365390627
1078.9016341429501,1069.6574395193707
1086.2755094275046,1082.7510974226373
1093.2305418165906,1088.6319754933477
1099.7003922029826,1096.5300236317144
1107.044953484727,1102.7194652753951
1114.5929100143974,1108.1351477857363
1121.0203609235894,1112.1036176434748
1126.8482549206678,1121.5047245335982
1133.7984688532551,1126.0983391112973
1142.1974680673552,1101.3429299063425
1148.7532680841941,1144.6032839502157
1156.3572397265207,1151.0729746933323
1162.1212835427746,1153.2173327968799
1168.8129461819915,1162.8861276359237
1183.7358081363327,1182.3332326009142
1191.9868329309734,1181.8067049810013
1200.8161341517869,1168.4338251904946
1209.0078116879743,1202.2432141322531
1217.5691590074618,1209.9927100542172
1224.26359601144,1215.4970980665871
1230.6910679102787,1229.71165703347
1236.7628296084847,1235.6962306829623
1246.4910207433672,1236.1022129746561
1257.375376321608,1250.9767224151256
1264.8082736013448,1259.7368595835142
1275.3808470499407,1270.7853769891894
1281.5493803567715,1273.5569937152586
1296.3252969655464,1294.3175362696538
1302.644251730218,1294.952721634889
1308.9777466963242,1299.5987080838663
1323.1497523906685,1313.0706237411061
1331.4428620207266,1322.0484987787536
1339.239736666052,1322.862989463198
1350.3806730893778,1331.8545233988307
1357.6040149539765,1357.6040149539765
1368.1899360501725,1367.9184152471826
1382.389394873381,1374.2714679194833
1390.7683136801652,1380.1239153396396
1399.585802318951,1366.0219270154696
1415.1072813553794,1395.6530387031466
1425.3075856863647,1425.3075856863647
1432.225414688114,1403.0066091815436
1442.2998212645296,1441.5837085571857
1449.6012861847726,1441.812867149944
1462.3566674362974,1453.3691394619514
1471.3211860105903,1464.3993644513926
1489.0187903342107,1469.2540424021347
1496.829522611497,1478.9116631678087
1504.9332433806017,1492.1602981209824
1512.4460159726261,1499.2527678723227
1519.8628802361713,1494.2521276990356
1541.5048735636979,1541.5048735636979
1550.5728999871983,1539.6282153848967
1559.1735975523086,1536.586918975828
1573.455383835274,1478.0859321183245
1583.6929537456388,1579.7068667732563
1594.4675715785493,1594.4675715785493
1607.5586477835618,1605.6984356167204
1617.99702423929,1578.4510815038143
1635.9434258201263,1618.738724129049
1644.2519517822561,1644.2519517822561
1654.24703837282,1648.0536893544393
1663.4839231806523,1658.024907954021
1672.984278574821,1624.9650426590063
1686.1474803381057,1615.3802453543897
