entry,exit,PnL,holding_h,equity,tradeDD
2024-01-03 18:00:00,2024-01-05 06:00:00,14.70209543375327,36.0,14.70209543375327,-22.29999999999834
2024-01-05 10:00:00,2024-01-09 08:00:00,29.012464021947018,94.0,43.71455945570029,-17.500000000000203
2024-01-11 18:00:00,2024-01-14 20:00:00,19.244234700524395,74.0,62.958794156224684,-21.399999999996886
2024-01-15 18:00:00,2024-01-16 10:00:00,17.10573370688488,16.0,80.06452786310956,-10.599999999999408
2024-01-17 04:00:00,2024-01-19 02:00:00,17.241530676396867,46.0,97.30605853950642,-18.499999999997872
2024-01-24 04:00:00,2024-01-24 15:00:00,27.688082007062633,11.0,124.99414054656906,-26.900000000001832
2024-01-25 08:00:00,2024-01-26 11:00:00,19.717809615349616,27.0,144.71195016191868,-6.499999999999194
2024-01-29 05:00:00,2024-01-30 03:00:00,19.996793111757817,22.0,164.7087432736765,-20.399999999999217
2024-02-02 11:00:00,2024-02-08 03:00:00,22.746332432032627,136.0,187.45507570570913,-37.399999999999565
2024-02-12 04:00:00,2024-02-16 02:00:00,18.374518570348958,94.0,205.8295942760581,-49.99999999999996
2024-02-22 03:00:00,2024-02-26 03:00:00,22.821723487749704,96.0,228.65131776380778,-25.900000000001942
2024-02-28 07:00:00,2024-02-28 20:00:00,20.503839417424107,13.0,249.15515718123189,-9.800000000000828
2024-02-29 04:00:00,2024-03-03 19:00:00,19.20792375983396,87.0,268.36308094106585,-12.699999999999843
2024-03-04 04:00:00,2024-03-06 12:00:00,17.75430745551965,56.0,286.1173883965855,-8.700000000000284
2024-03-07 05:00:00,2024-03-11 09:00:00,20.03607891881769,100.0,306.1534673154032,-11.800000000000608
2024-03-12 02:00:00,2024-03-14 10:00:00,20.45433612947057,56.0,326.60780344487375,-17.500000000000203
2024-03-18 04:00:00,2024-03-18 19:00:00,17.29990614001555,15.0,343.9077095848893,-23.999999999998376
2024-03-19 04:00:00,2024-03-19 07:00:00,15.59622162155132,3.0,359.5039312064406,-14.300000000001443
2024-03-19 11:00:00,2024-03-20 06:00:00,18.503504537290294,19.0,378.00743574373087,-20.499999999999872
2024-03-21 03:00:00,2024-03-26 06:00:00,22.223524139862867,123.0,400.23095988359375,-108.10000000000089
2024-03-27 15:00:00,2024-03-29 13:00:00,17.218914067280316,46.0,417.44987395087406,-10.900000000001373
