day_thai,mean,min,max,count
Friday,-23.761111111111077,-81.50000000000203,0.0,18
Monday,-27.20769230769215,-86.59999999999992,0.0,13
Thursday,-29.166666666666632,-126.90000000000192,0.0,15
Tuesday,-36.80000000000017,-183.4999999999997,0.0,14
Wednesday,-18.866666666666642,-72.40000000000016,-0.5999999999982897,15
